Serial,Multiple Images,Date,From,To,Type,Comment
1,2,1938-03-11,,,Cutting,The Statesman Calcutta
2,,1938?,,,Cutting,
3,,,,,Cutting,Dorset Echo 
4,,,,,Cutting,
5,,,,,Cutting,
6,,1947-03-22,,,Cutting,TLS
7,,1932-12-10,,,Cutting,Publishers Pie
8,,,Who's Who,,letter,
9,,1937-06-02,,,Cutting,"Evening Standard, David Low cartoon"
10,3,1938-12-23,,,Cutting,"Radio Times, A Christmas Fancy by S. P. B. Mais"
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
